SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
вул.Антоновича В.;121;;female;0;10;2;13;6;12;0;43
вул.Антоновича В.;13;;female;0;1;0;6;6;2;0;15
вул.Антоновича В.;14;;female;0;1;0;1;3;2;0;7
вул.Антоновича В.;15;;female;0;0;3;2;2;3;0;10
вул.Антоновича В.;16;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;17;;female;0;0;1;0;1;2;0;4
вул.Антоновича В.;17б;;female;0;0;0;1;0;0;0;1
вул.Антоновича В.;18;;female;1;1;1;4;4;2;0;13
вул.Антоновича В.;19;;female;3;2;1;4;4;7;0;21
вул.Антоновича В.;20;;female;0;1;0;2;3;6;0;12
вул.Антоновича В.;21;;female;2;3;0;4;5;4;0;18
вул.Антоновича В.;22;;female;0;1;1;2;2;4;0;10
вул.Антоновича В.;23;;female;0;2;2;5;3;8;0;20
вул.Антоновича В.;24;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;25;;female;2;0;1;5;6;3;0;17
вул.Антоновича В.;26;;female;0;0;0;0;0;0;0;0
вул.Антоновича В.;26а;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;27;;female;0;1;1;2;5;3;0;12
вул.Антоновича В.;28;;female;2;1;1;3;3;2;0;12
вул.Антоновича В.;29;;female;0;4;2;4;2;4;0;16
вул.Антоновича В.;30;;female;0;0;1;2;4;4;0;11
вул.Антоновича В.;32;;female;0;2;1;4;2;5;0;14
вул.Антоновича В.;34;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;36;;female;0;0;0;3;0;2;0;5
вул.Антоновича В.;37;;female;0;1;0;1;5;3;0;10
вул.Антоновича В.;38;;female;0;1;0;4;2;3;0;10
вул.Антоновича В.;4;;female;0;1;0;2;2;1;0;6
вул.Антоновича В.;40;;female;1;2;0;4;4;4;0;15
вул.Антоновича В.;44;;female;0;1;0;0;1;0;0;2
вул.Антоновича В.;46;;female;0;0;0;0;0;2;0;2
вул.Антоновича В.;48а;;female;0;0;0;0;1;0;0;1
вул.Антоновича В.;49;;female;0;0;0;0;0;0;0;0
вул.Антоновича В.;53;;female;0;0;0;0;1;0;0;1
вул.Антоновича В.;54;;female;0;1;0;0;1;3;0;5
вул.Антоновича В.;54б;;female;0;0;0;1;0;1;0;2
вул.Антоновича В.;54г;;female;0;1;0;1;0;0;0;2
вул.Антоновича В.;57;;female;3;1;3;4;4;2;0;17
вул.Антоновича В.;58;;female;0;1;1;10;7;6;0;25
вул.Антоновича В.;6;;female;0;0;1;1;2;4;0;8
вул.Антоновича В.;60;;female;0;0;0;1;1;4;0;6
вул.Антоновича В.;61;;female;0;0;0;0;2;1;0;3
вул.Антоновича В.;62;;female;0;0;0;1;2;5;0;8
вул.Антоновича В.;62а;;female;0;2;1;2;1;5;0;11
вул.Антоновича В.;63;;female;0;0;0;1;1;1;0;3
вул.Антоновича В.;64;;female;0;0;0;2;1;0;0;3
вул.Антоновича В.;66;;female;0;1;0;1;0;3;0;5
вул.Антоновича В.;67;;female;0;0;0;0;0;0;0;0
вул.Антоновича В.;67а;;female;1;0;1;0;1;0;0;3
вул.Антоновича В.;67в;;female;0;0;0;0;0;0;0;0
вул.Антоновича В.;68;;female;0;0;0;1;2;0;0;3
вул.Антоновича В.;68а;;female;0;2;1;0;4;1;0;8
вул.Антоновича В.;69;;female;0;0;0;1;2;1;0;4
вул.Антоновича В.;7;;female;1;1;0;1;4;6;0;13
вул.Антоновича В.;70;;female;0;0;0;0;3;0;0;3
вул.Антоновича В.;72;;female;0;0;1;0;3;4;0;8
вул.Антоновича В.;73;;female;0;0;0;0;4;1;0;5
вул.Антоновича В.;74;;female;0;0;0;0;1;2;0;3
вул.Антоновича В.;75;;female;0;1;0;1;0;1;0;3
вул.Антоновича В.;76;;female;0;0;0;2;2;2;0;6
вул.Антоновича В.;77;;female;1;1;0;2;1;3;0;8
вул.Антоновича В.;78;;female;0;0;0;0;0;2;0;2
вул.Антоновича В.;8;;female;0;3;0;0;3;3;0;9
вул.Антоновича В.;81;;female;1;0;1;1;4;2;0;9
вул.Антоновича В.;82;;female;0;1;0;2;0;2;0;5
вул.Антоновича В.;83;;female;1;0;0;2;4;3;0;10
вул.Антоновича В.;84;;female;0;0;1;0;2;0;0;3
вул.Антоновича В.;85;;female;0;0;0;1;0;1;0;2
вул.Антоновича В.;85а;;female;0;0;0;0;0;0;0;0
вул.Антоновича В.;86;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;87;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;88;;female;0;0;0;0;0;1;0;1
вул.Антоновича В.;89;;female;0;0;0;2;1;1;0;4
вул.Антоновича В.;9;;female;0;1;0;3;4;4;0;12
вул.Антоновича В.;93;;female;0;0;0;0;1;0;0;1
вул.Антоновича В.;95.;;female;1;0;0;0;0;0;0;1
вул.Антоновича В.;95вл;;female;0;0;0;0;1;0;0;1
вул.Антоновича В.;99;;female;0;0;0;0;1;1;0;2
вул.Аральська;1;;female;1;2;0;3;3;4;0;13
вул.Аральська;10;;female;0;2;1;3;3;1;0;10
вул.Аральська;12;;female;0;1;0;4;0;4;0;9
вул.Аральська;14;;female;0;0;0;2;0;2;0;4
вул.Аральська;15;;female;0;0;0;0;0;2;0;2
вул.Аральська;17;;female;0;0;0;1;0;3;0;4
вул.Аральська;19;;female;0;0;0;1;0;1;0;2
вул.Аральська;2;;female;0;0;0;1;0;1;0;2
вул.Аральська;21;;female;0;1;0;1;0;1;0;3
вул.Аральська;23;;female;0;3;0;2;1;0;0;6
вул.Аральська;3;;female;0;0;0;1;1;0;0;2
вул.Аральська;4;;female;0;0;0;0;1;0;0;1
вул.Аральська;5;;female;0;0;0;0;1;0;0;1
вул.Аральська;6;;female;0;0;0;0;0;0;0;0
вул.Аральська;7;;female;0;0;0;0;1;2;0;3
вул.Аральська;7а;;female;0;0;0;1;0;2;0;3
вул.Аральська;8;;female;0;1;1;1;2;2;0;7
вул.Аральська;9;;female;0;1;0;0;0;0;0;1
вул.Аркаса М.;10;;female;0;2;0;0;3;4;0;9
вул.Аркаса М.;11;;female;0;0;0;3;2;2;0;7
вул.Аркаса М.;12;;female;0;4;0;2;3;5;0;14
вул.Аркаса М.;13;;female;0;0;0;1;5;6;0;12
вул.Аркаса М.;14;;female;0;0;1;6;5;0;0;12
вул.Аркаса М.;16;;female;0;1;0;0;1;3;0;5
вул.Аркаса М.;16а;;female;0;3;0;2;0;1;0;6
вул.Аркаса М.;18;;female;0;0;1;2;5;2;0;10
вул.Аркаса М.;18а;;female;0;0;0;0;0;1;0;1
вул.Аркаса М.;20;;female;0;2;0;4;5;4;0;15
вул.Аркаса М.;4;;female;0;0;0;0;0;1;0;1
вул.Аркаса М.;4а;;female;0;0;0;0;1;0;0;1
вул.Аркаса М.;6;;female;0;2;1;2;2;1;0;8
вул.Аркаса М.;7;;female;0;0;0;0;1;1;0;2
вул.Аркаса М.;8;;female;0;1;0;4;1;3;0;9
вул.Аркаса М.;9;;female;0;0;0;0;0;1;0;1
вул.Арсенальська;5;;female;0;0;0;0;1;0;0;1
вул.Архипенка О.;10;;female;0;0;1;1;2;3;0;7
вул.Архипенка О.;11;;female;0;0;0;1;2;5;0;8
вул.Архипенка О.;12;;female;1;1;1;2;3;1;0;9
вул.Архипенка О.;14;;female;0;0;0;1;3;2;0;6
вул.Архипенка О.;2;;female;0;0;1;5;0;0;1;7
вул.Архипенка О.;22;;female;0;0;1;1;5;3;0;10
вул.Архипенка О.;24;;female;0;0;0;0;0;3;0;3
вул.Архипенка О.;26;;female;0;1;0;1;2;3;0;7
вул.Архипенка О.;28;;female;0;1;0;1;0;1;0;3
вул.Архипенка О.;3;;female;1;0;0;2;1;0;0;4
вул.Архипенка О.;30;;female;2;0;0;2;0;2;0;6
вул.Архипенка О.;32;;female;3;4;0;7;2;6;0;22
вул.Архипенка О.;4;;female;1;0;1;3;1;3;0;9
вул.Архипенка О.;5;;female;0;0;1;0;1;3;0;5
вул.Архипенка О.;6;;female;1;1;2;2;2;3;0;11
вул.Архипенка О.;8;;female;1;0;0;4;3;2;0;10
вул.Архипенка О.;9;;female;0;0;1;1;1;2;0;5
вул.Архітекторська;3;;female;1;0;0;6;0;3;0;10
вул.Архітекторська;5;;female;0;0;0;0;1;3;0;4
вул.Архітекторська;7;;female;5;1;0;6;4;3;0;19
вул.Бабія О.;10а;;female;0;0;0;0;1;1;0;2
вул.Бабія О.;11;;female;1;0;0;1;0;2;0;4
вул.Бабія О.;11а;;female;0;0;0;0;0;0;0;0
вул.Бабія О.;11б;;female;0;0;0;0;2;1;0;3
вул.Бабія О.;11в;;female;0;0;0;1;1;1;0;3
вул.Бабія О.;12;;female;0;0;0;1;0;0;0;1
вул.Бабія О.;3;;female;0;0;0;1;0;0;0;1
вул.Бабія О.;4;;female;1;1;0;1;0;1;0;4
вул.Бабія О.;4а;;female;0;1;0;0;0;0;0;1
вул.Бабія О.;5;;female;2;2;0;3;1;2;0;10
вул.Бабія О.;6;;female;0;0;1;0;1;1;0;3
вул.Бабія О.;6а;;female;1;0;0;1;0;0;0;2
вул.Бабія О.;7;;female;0;0;0;0;2;0;0;2
вул.Бабія О.;8;;female;0;0;0;0;0;1;0;1
вул.Бабія О.;9;;female;0;0;0;1;0;0;0;1
вул.Бабія О.;9а;;female;0;0;0;0;1;0;0;1
вул.Бабія О.;9б;;female;0;0;0;0;1;0;0;1
вул.Багалія Д.;13;;female;0;0;0;0;0;1;0;1
вул.Багалія Д.;15;;female;0;0;0;0;0;0;0;0
вул.Багалія Д.;19;;female;0;0;0;1;2;0;0;3
вул.Багалія Д.;21;;female;0;0;0;2;2;1;0;5
вул.Багалія Д.;23;;female;0;0;0;0;0;1;0;1
вул.Багалія Д.;25;;female;0;0;0;0;0;1;0;1
вул.Багалія Д.;27;;female;1;2;0;2;1;0;0;6
вул.Багалія Д.;29;;female;0;0;0;2;0;1;0;3
вул.Багалія Д.;3;;female;1;2;0;0;0;1;0;4
вул.Багалія Д.;3а;;female;0;0;0;1;1;0;0;2
вул.Багалія Д.;6;;female;3;3;0;4;1;2;0;13
вул.Багряного І.;1;;female;1;0;0;1;0;1;0;3
вул.Багряного І.;10а;;female;0;0;0;1;0;0;0;1
вул.Багряного І.;11;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;12;;female;0;1;0;1;0;1;0;3
вул.Багряного І.;13;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;15;;female;1;0;0;1;0;0;0;2
вул.Багряного І.;16;;female;0;2;1;0;2;2;0;7
вул.Багряного І.;17;;female;1;0;0;1;1;1;0;4
вул.Багряного І.;18;;female;0;0;0;0;0;0;0;0
вул.Багряного І.;19;;female;1;0;0;2;2;0;0;5
вул.Багряного І.;20;;female;1;0;0;1;0;0;0;2
вул.Багряного І.;22;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;24;;female;0;0;0;0;1;0;0;1
вул.Багряного І.;26;;female;0;0;0;2;0;0;0;2
вул.Багряного І.;28;;female;0;0;0;1;0;1;0;2
вул.Багряного І.;29;;female;0;3;2;2;4;1;0;12
вул.Багряного І.;3;;female;0;2;0;0;1;1;0;4
вул.Багряного І.;30;;female;0;1;0;1;1;1;0;4
вул.Багряного І.;31;;female;0;0;0;1;0;0;0;1
вул.Багряного І.;32;;female;0;1;0;0;1;0;0;2
