SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
Антоновича В.;21;;female;2;3;0;4;5;4;0;18
Антоновича В.;22;;female;0;1;1;2;2;4;0;10
Антоновича В.;23;;female;0;2;2;5;3;8;0;20
Антоновича В.;24;;female;0;0;0;0;0;1;0;1
Антоновича В.;25;;female;2;0;1;5;6;3;0;17
Антоновича В.;26;;female;0;0;0;0;0;0;0;0
Антоновича В.;26а;;female;0;0;0;0;0;1;0;1
Антоновича В.;27;;female;0;1;1;2;5;3;0;12
Антоновича В.;28;;female;2;1;1;3;3;2;0;12
Антоновича В.;29;;female;0;4;2;4;2;4;0;16
Антоновича В.;30;;female;0;0;1;2;4;4;0;11
Антоновича В.;32;;female;0;2;1;4;2;5;0;14
Антоновича В.;34;;female;0;0;0;0;0;1;0;1
Антоновича В.;36;;female;0;0;0;3;0;2;0;5
Антоновича В.;37;;female;0;1;0;1;5;3;0;10
Антоновича В.;38;;female;0;1;0;4;2;3;0;10
Антоновича В.;4;;female;0;1;0;2;2;1;0;6
Антоновича В.;40;;female;1;2;0;4;4;4;0;15
Антоновича В.;44;;female;0;1;0;0;1;0;0;2
Антоновича В.;46;;female;0;0;0;0;0;2;0;2
Антоновича В.;48а;;female;0;0;0;0;1;0;0;1
Антоновича В.;49;;female;0;0;0;0;0;0;0;0
Антоновича В.;53;;female;0;0;0;0;1;0;0;1
Антоновича В.;54;;female;0;1;0;0;1;3;0;5
Антоновича В.;54б;;female;0;0;0;1;0;1;0;2
Антоновича В.;54г;;female;0;1;0;1;0;0;0;2
Антоновича В.;57;;female;3;1;3;4;4;2;0;17
Антоновича В.;58;;female;0;1;1;10;7;6;0;25
Антоновича В.;6;;female;0;0;1;1;2;4;0;8
Антоновича В.;60;;female;0;0;0;1;1;4;0;6
Антоновича В.;61;;female;0;0;0;0;2;1;0;3
Антоновича В.;62;;female;0;0;0;1;2;5;0;8
Антоновича В.;62а;;female;0;2;1;2;1;5;0;11
Антоновича В.;63;;female;0;0;0;1;1;1;0;3
Антоновича В.;64;;female;0;0;0;2;1;0;0;3
Антоновича В.;66;;female;0;1;0;1;0;3;0;5
Антоновича В.;67;;female;0;0;0;0;0;0;0;0
Антоновича В.;67а;;female;1;0;1;0;1;0;0;3
Антоновича В.;67в;;female;0;0;0;0;0;0;0;0
Антоновича В.;68;;female;0;0;0;1;2;0;0;3
Антоновича В.;68а;;female;0;2;1;0;4;1;0;8
