,ID,NAME,ADDRESS,latitude,longitude,class
98,99,НВК «Дивосвіт» (дошкільне відділення),"вул. Щирецька,36",49.811797,23.973578,kindergarden
99,100,ЗДО № 150,"вул. Гетьмана Мазепи, 15а ",49.869869,24.032257,kindergarden
100,101,НВК «Малюк» (дошкільне відділення),"вул. В.Великого,41а",49.806699,24.003234,kindergarden
101,102,"НВК «Один,два,три» (дошкільне відділення)","вул. Любінська, 89б",49.821229,23.975195,kindergarden
102,103,Ліцей «Провесінь» (дошкільне відділення),"вул. Тракт Глинянський, 151 б  ",49.841508,24.097468,kindergarden
103,104,НВК «Ш-с «Софія» (дошкільне відділення),"вул. Мишуги,13а",49.815406,24.031542,kindergarden
104,105,Ліцей № 94 (дошкільне відділення),"вул.Брюховицька, 99",49.870991,23.957149,kindergarden
105,106,Золотий ключик,вул. Журавлина 3а,49.825152,23.957201,kindergarden
106,107,Ерудитиня,-,,,kindergarden
107,108,Гімназія Братів Ізраїлю,-,,,kindergarden
108,109,Школа Дивосвіт,"Вул. Трильовського, 24",49.781859,24.061275,kindergarden
109,110,ЗДО Горішок,-,,,kindergarden
110,128,ЗДО №17,"вул.Зубрівська,9",49.795423,24.061361,kindergarden
111,129,ЗДО №168,"вул.Кульпарківська,182",49.814722,23.979963,kindergarden
112,130,ЗДО №9,"вул.Рильського,9",49.833047,24.041148,kindergarden
113,132,Ліцей №38 м.Львова (дошкільне відділення),вул.Порічкова 4-а,49.865703,23.960279,kindergarden
114,133,ЗДО №39,"вул. Володимира Великого, буд. 125а",49.809104,23.985352,kindergarden
115,134,ЗДО № 188,"м.Львів, вул.Сміливих 26",49.818821,24.008958,kindergarden
116,135,НРЦ Левеня,"вул. Володимира Великого,71",49.808442,23.995404,kindergarden
117,136,СЗШ№ 70 (дошкільне відділення),"вул. Кривчицька Дорога,1",49.841095,24.066966,kindergarden
